Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Reporting Area (RPA),Latitude,Longitude,Mapped Location
PD201800060311,01/17/2018 03:08:00 PM,20180054121,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,600,PEBBLE CREEK CIR ,325B,S,23,8897,36.074,-86.665,"(36.074, -86.665)"
PD201800060638,01/17/2018 04:24:00 PM,20180054510,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,600,12TH AV S ,422B,C,23,4019,36.152,-86.784,"(36.152, -86.784)"
PD201800064149,01/18/2018 01:02:00 PM,20180057701,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,300,MELPAR DR ,323A,S,21,8711,36.065,-86.711,"(36.065, -86.711)"
PD201800065280,01/18/2018 06:28:00 PM,20180058631,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1400,BRICK CHURCH PKE ,621B,N,21,3007,36.204,-86.778,"(36.204, -86.778)"
PD201800065610,01/18/2018 08:00:00 PM,20180058898,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,600,S 5TH ST ,212B,E,11,1009,36.166,-86.762,"(36.166, -86.762)"
PD201800068166,01/19/2018 11:22:00 AM,20180061270,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3200,CLAPHAM RD ,323A,S,25,8891,36.076,-86.652,"(36.076, -86.652)"
PD201800068377,01/19/2018 12:30:00 PM,20180061468,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,25TH AV N ,812A,MT,13,5619,36.152,-86.812,"(36.152, -86.812)"
PD201800069136,01/19/2018 04:35:00 PM,20180062154,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,400,11TH AV S ,423B,C,23,4017,36.152,-86.784,"(36.152, -86.784)"
PD201800072293,01/20/2018 01:46:00 PM,20180064927,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2400,NOLENSVILLE PKE ,833A,MT,25,8343,36.12,-86.75,"(36.12, -86.75)"
PD201800072890,01/20/2018 06:20:00 PM,20180065435,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,5500,SCRUGGS LN ,627B,N,21,3007,36.205,-86.781,"(36.205, -86.781)"
